Category,Work Item ID,Title,Type,Priority,Priority Group,Story Points,Created By,State,URL,Description,Steps to Reproduce
Title match,3075570,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Items in 'Assigned to' drop down are not being announced via screen reader.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075570,,
Title match,3075571,"508: [Cloud Audit Suite] [EPC] [TR Standard] [Workpapers]: Main content area missing landmark",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075571,,
Title match,3075572,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: 'view properties' link is inaccessible with keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075572,,
Title match,3075581,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Multiple H1 present in Bento Wizard implementation",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075581,,
Title match,3075585,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Table is not accessible using the keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075585,,
Title match,3075586,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Focus is Moving twice to During Finalize field in add workpaper wizard",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075586,,
Title match,3075592,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensure every ARIA button, link and menu item has an accessible name",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075592,,
Title match,3075593,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Keyboard focus is not moving in the correct order format.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075593,,
Title match,3075599,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: NVDA is not properly announcing the links in the hamburger "LINKS" menu. ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075599,,
Title match,3075602,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: List of filter options in the 'Trial Balance' section is not keyboard operable.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075602,,
Title match,3075603,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Nested table in Trial Balance filter dialog",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075603,,
Title match,3075604,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Provide a valid label for form fields",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075604,,
Title match,3075605,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]:Table Headers are not accessible using the keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075605,,
Title match,3075607,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Focus is moving out the dialog.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075607,,
Title match,3075609,"508: [Cloud Audit Suite] [EPC] [4.1.3] [Workpapers]: Status message is not appeared after clicking on save and more button.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075609,,
Title match,3075610,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: NVDA is not announcing the dialog Information.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075610,,
Title match,3075611,"508: [Cloud Audit Suite] [EPC] [3.3.2] [Workpapers]: NVDA is not announcing the error message displayed on the screen.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075611,,
Title match,3075612,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Expand button in Trial Balance section is not operable using keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075612,,
Title match,3075614,"508: [Cloud Audit Suite] [EPC] [1.4.3] [Workpapers]: Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075614,,
Title match,3075615,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Attach button is not operable using keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075615,,
Title match,3075616,"508: [Cloud Audit Suite] [EPC] [2.1.2] [Workpapers]: Ensure keyboard focus is not trapped",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075616,,
Title match,3075617,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Provide a valid label name for check box",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075617,,
Title match,3075618,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Workpapers]: Visual focus indicator should be provided for menu button.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075618,,
Title match,3075620,"508: [Cloud Audit Suite] [EPC] [4.1.3] [Workpapers]: NVDA is not announcing the new page information displayed on the screen.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075620,,
Title match,3075621,"508: [Cloud Audit Suite] [EPC] [2.4.3] [Workpapers]: Keyboard focus is inconsistently visible",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075621,,
